Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Town/City,County,State,Latitude,Longitude,Fieldworker,Year interviewed,Notes,Formatted_Informant,Target: attic,Target comments
IN28B,LANCS,Female,64,White,At least some college or beyond,Keeping house,Jefferson,Madison,IN,38.7359,-85.38,"Bender, Byron",1952,"also, 152.2; supp. Inf.: M, retired storekeeper and barber, 82",IN028B,attic,
IN28C,LANCS,Male,80,White,At least some college or beyond,"Manager, official, or proprietor",Jefferson,Madison,IN,38.7359,-85.38,"McDavid, Raven",1961,"also, 149A.3; retired contractor, farmer, lecturer, local historian; supp. Inf.: wife, 78",IN028C,the attic,junk
IN29A,LANCS,Male,76,White,Between 1 and 8 yrs.,Clerical and sales,Jasper,Keener,IN,41.1867,-87.2021,"Payne, Richard C.",1977,"vegetable peddler, now town street-cleaner and local handyman",IN029A,"the attic, a attic",
IN29B,LANCS,Male,70,White,At least some high school,Clerical and sales,Jasper,Keener,IN,41.1867,-87.2021,"Payne, Richard C.",1977,farm implements dealer,IN029B,attic,
IN29C,LANCS,Male,63,White,At least some college or beyond,Farmer ,Jasper,Union,IN,41.066,-87.2021,"Payne, Richard C.",1977,Aux. inf.: Wife,IN029C,attic,
IN29D,LANCS,Male,74,White,At least some college or beyond,Teacher,Jasper,Kankakee,IN,41.2116,-86.9924,"Payne, Richard C.",1977,"also, grade school principal and later farmer; aux. inf.: Wife, 68, keeping house, also taught for 3 yrs.",IN029D,attic,
IN30,LANCS,Male,66,White,At least some college or beyond,Craftsman or foreman,Lake,Schererville,IN,41.4789,-87.4548,"Payne, Richard C.",1977,"Carpenter; aux. inf.: Wife, f. executive secretary, now parttime hospital worker",IN030,attic,*
KY1A,LANCS,Male,66,White,Between 1 and 8 yrs.,Farmer,Livingston,Smithland,KY,37.1389,-88.4034,"Hopkins, Jerry",1962,"also, 162.1; aux. inf.: Farmer, 72 ",KY001A,c. attic,
KY1B,LANCS,Male,45,White,At least some high school,"Manager, official, or proprietor",Livingston,Smithland,KY,37.1389,-88.4034,"Thompson, Robert M.",1962,state forestry service supervisor,KY001B,attic space,in older houses
KY1C,LANCS,Male,23,White,At least some college or beyond,Student,Livingston,Hampton,KY,37.1659,-88.2217,"McDavid, Raven",1954,"also, 162.3",KY001C,"an attic, upstairs",
KY2A,LANCS,Male,63,White,Between 1 and 8 yrs.,Farmer,Webster,Dixon,KY,37.5178,-87.6903,"Hopkins, Jerry",1962,"also, 163.1",KY002A,"attic, loft",INF has heard loft; 1109
KY2B,LANCS,Male,50+,White,At least some high school,Farmer,Webster,Sebree,KY,37.607,-87.5286,"Thompson, Robert M.",1962,"also, 163.2; also, dept. of agriculture employee",KY002B,upstairs,
KY3A,LANCS,Male,43,White,Between 1 and 8 yrs.,Farmer,Hancock,Hawesville,KY,37.9001,-86.755,"Howren, Robert R.",1955,"also, 164.2; sharecropper",KY003A,a attic,
KY3B,LANCS,Male,45,White,At least some high school,Craftsman or foreman,Hancock,Hawesville,KY,37.9001,-86.755,"Howren, Robert R.",1955,"also, 164.21; electrician, sheriff",KY003B,attic,
KY4,LANCS,Male,74,White,Unknown,Unknown,Meade,Brandenburg,KY,37.999,-86.1694,"Boggs, K. K.",1933,"""Old-fashioned""; LONG worksheets",KY004,loft,loft
KY5A,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,Hardin,Vertrees,KY,37.6965,-86.1344,"Thompson, Robert M.",1962,"also, 164B.1; aux. inf.: wife",KY005A,attic,
KY5B,LANCS,Male,77,White,Unknown,Unknown,Hardin,West Point,KY,37.593,-85.5716,"Thompson, Robert M.",1962,,KY005B,attic,
KY6A,LANCS,Male,70,White,Between 1 and 8 yrs.,Farmer,Bullitt,Bardstown Junction,KY,37.5624,-85.4158,"Thompson, Robert M.",1962,"also, 165.1; aux. inf.: wife",KY006A,attic,
KY6B,LANCS,Female,67,White,At least some high school,Keeping house,Bullitt,Bardstown Junction,KY,37.5624,-85.4158,"Howren, Robert R.",1955,"also, 165.2",KY006B,attic,
KY7AA,LANCS,Male,65,White,Between 1 and 8 yrs.,Operative,Jefferson,Louisville,KY,38.2527,-85.7585,"Howren, Robert R.",1956-1957,factory worker,KY007AA,NR,
KY7B,LANCS,Male,76,White,Between 1 and 8 yrs.,Service worker,Jefferson,Louisville,KY,38.2527,-85.7585,"McDavid, Raven",1952,"also, 166.1; barber",KY007B,c. attic,
KY7BA,LANCS,Male,53,White,Between 1 and 8 yrs.,Operative,Jefferson,Louisville,KY,38.2527,-85.7585,"Howren, Robert R.",1956-1957,printer,KY007BA,"attic, garret",garret -- old also
KY7C,LANCS,Female,69,White,At least some high school,Keeping house,Jefferson,Louisville,KY,38.2527,-85.7585,"McDavid, Raven",1952,"also, 166.3; Jewish",KY007C,"c. attic, garret",garret -- s.h.
KY7D,LANCS,Female,22,White,At least some college or beyond,Keeping house,Jefferson,Louisville,KY,38.2527,-85.7585,"McDavid, Raven",1954,"also, 166.32",KY007D,an attic,
KY7F,LANCS,Male,49,White,At least some college or beyond,Professional & technical,Jefferson,Windy Hills,KY,38.16,-85.3816,"Howren, Robert R.",1956-1957,lawyer and former mayor; law school at U. of Louisville,KY007F,NR,
KY7NA,LANCS,Male,54,Black or African American,Between 1 and 8 yrs.,Service worker,Jefferson,Jeffersontown,KY,38.1942,-85.5644,"McDavid, Raven",1952,"also, 166N.1; janitor, also former farmer, truck driver",KY007NA,attic,
KY7NE,LANCS,Female,64,Black or African American,At least some college or beyond,Keeping house,Jefferson,Windy Hills,KY,38.16,-85.3816,"Howren, Robert R.",1956-1957,"also, former teacher",KY007NE,NR,
KY8A,LANCS,Male,72,White,Between 1 and 8 yrs.,Farmer,Owen,Squiresville,KY,38.5423,-84.9547,"McDavid, Raven",1954,"also, 167.1; usually hw",KY008A,"the attic, scuttle hole",
KY8B,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,Owen,Monterey,KY,38.2521,-84.5221,"McDavid, Raven",1954,"also, 167.11",KY008B,"upstairs, c. a loft",c. a loft
KY8C,LANCS,Female,55,White,At least some high school,Unknown,Owen,New Liberty,KY,38.3657,-84.5424,"McDavid, Raven",1954,"also, 167.2; aux. inf.: Male, soil conservation director",KY008C,"the attic, third story",
KY9A,LANCS,Male,84,White,At least some high school,Farmer,Lewis,Cabin Creek,KY,38.3713,-83.3716,"McDavid, Raven",1955,"also, 170.1; used coords of cabin creek covered bridge",KY009A,garret,? idea of wardrobe
KY9B,LANCS,Female,55,White,At least some high school,Keeping house,Mason,Maysville,KY,38.6412,-83.7444,"McDavid, Raven",1951,"also, 170.2",KY009B,attic,
KY9C,LANCS,Male,28,White,At least some college or beyond,Student,Mason,Maysville,KY,38.6412,-83.7444,"Davis, Alva L.",1952,"also, 170.3; linguistics student",KY009C,"attic, up attic",
KY10A,LANCS,Male,76,White,Between 1 and 8 yrs.,Farmer,Carter,Grayson,KY,38.3326,-82.9485,"Avis, Walter S.",1955,"also, 171.1, 1A; ""old-fashioned grammar and pronunciation""",KY010A,"attic, garret, loft",
KY10B,LANCS,Female,85,White,Between 1 and 8 yrs.,Keeping house,Carter,Grayson,KY,38.3326,-82.9485,"McDavid, Raven",1953,"also, 171.2, 1b; aux. inf.: Female, b. and resided here",KY010B,"garret, a attic",*c. a attic
KY11A,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,Muhlenberg,Greenville,KY,37.2012,-87.1789,"McDavid, Raven",1962,"also, 174.1",KY011A,w. attic,2196
KY11B,LANCS,Male,61,White,At least some high school,Farmer,Muhlenberg,Greenville,KY,37.2012,-87.1789,"Hopkins, Jerry",1962,"also, 174.2; also, supervisor of soil conservation district",KY011B,attic,"1271; in childhood: no term, closed up"
KY12A,LANCS,Male,92,White,At least some college or beyond,Farmer,Grayson,Shrewsbury,KY,37.3789,-86.3847,"Hopkins, Jerry",1955,"also, 174A.1; also, lumberman and landowner; one yr. med school, 1 yr. law school",KY012A,"c. attic, upstairs",c. attic
KY12B,LANCS,Male,92,White,Between 1 and 8 yrs.,Farmer,Grayson,Salt Lick,KY,38.71,-83.3658,"McDavid, Raven",1955,"also, 174A.11; incomplete record",KY012B,upstairs,"stair, steps"
KY12C,LANCS,Male,74,White,Between 1 and 8 yrs.,Farmer,Grayson,Leitchfield,KY,37.4801,-86.2939,"McDavid, Raven",1955,"also, 174A.12; also, feed salesman; incomplete record",KY012C,"attic, loft",loft -- older term
KY12D,LANCS,Male,75,White,At least some college or beyond,Teacher,Grayson,Leitchfield,KY,37.4801,-86.2939,"McDavid, Raven",1955,"also, 174A.2",KY012D,loft,stairway
KY13A,LANCS,Male,79,White,No formal schooling,Farmer,Green,Bluff Boom,KY,37.2778,-85.4611,"McDavid, Raven",1960,"also, 180.1; aux. inf.: M, farmer, 66, b. and resided here",KY013A,garret,
KY13B,LANCS,Female,57,White,Between 1 and 8 yrs.,Keeping house,Green,Greensburg,KY,37.2609,-85.4989,"Thompson, Robert M.",1955,"also, 180.2; aux. inf.: male, auto mechanic, 59, no education",KY013B,attic,
KY14A,LANCS,Male,76,White,Between 1 and 8 yrs.,Service worker,Nelson,Bardstown,KY,37.8092,-85.4669,"Howren, Robert",1955,"also, 176.1; postman, greenhouse operator",KY014A,attic,
KY14B,LANCS,Female,59,White,At least some high school,Clerical and sales,Nelson,Bardstown,KY,37.8092,-85.4669,"Howren, Robert",1954,"also, 176.2; secretary",KY014B,attic,? Informant seems here to be making attempt to enunciate very clearly. Cf. democratic - c.
KY15,LANCS,Female,70,White,At least some high school,Keeping house,Marion,Lebanon,KY,37.5698,-85.2527,"Howren, Robert",1954,Incomplete record,KY015,attics,storage
KY16A,LANCS,Male,84,White,Between 1 and 8 yrs.,Farmer,Mercer,Dixville,KY,37.7059,-84.948,"McDavid, Raven",1954,"also, 177.1; aux. inf.: wife, 82, 8th grade",KY016A,"loft, attic",
KY16B,LANCS,Male,73,White,Between 1 and 8 yrs.,Craftsman or foreman,Mercer,Harrodsburg,KY,37.7623,-84.8433,"McDavid, Raven",1954,"also, 177.11; blacksmith",KY016B,"attic, loft",attic -- stairway; loft -- olden
KY16C,LANCS,Female,71,White,Between 1 and 8 yrs.,Keeping house,Mercer,Burgin,KY,37.7534,-84.7666,"McDavid, Raven",1954,"also, 177.2; incomplete record",KY016C,attics,not used
KY17B,LANCS,Male,83,White,No formal schooling,Farmer,Scott,Georgetown,KY,38.2098,-84.5588,"McDavid, Raven",1956,"also, 168.1; aux. inf.: Wife, 72",KY017B,the attic,the attic -- not used; stairway
KY17C,LANCS,Male,71,White,At least some high school,Farmer,Fayette,Lexington,KY,38.0406,-84.5037,"McDavid, Raven",1952,"also, 168.11",KY017C,a attic,open space - not used
KY17D,LANCS,Female,50,White,At least some high school,Keeping house,Fayette,Lexington,KY,38.0406,-84.5037,"McDavid, Raven",1952,"also, 168.2; Paris Pike",KY017D,attic,
KY17E,LANCS,Female,67,White,At least some college or beyond,Keeping house,Fayette,Bryan Station,KY,38.4331,-84.2456,"McDavid, Raven",1952,"""Very good example of cultured Southern woman of old established family. Displayed lively interest in interview….Some folk grammatical term…""",KY017E,"an attic, garret",asach we said
KY17F,LANCS,Female,23,White,At least some college or beyond,Teacher,Woodford,Versailles,KY,38.0526,-84.7299,"McDavid, Raven",1951,"also, 168.31",KY017F,"an attic, the attic",
KY17NA,LANCS,Male,67,Black or African American,Between 1 and 8 yrs.,Craftsman or foreman,Fayette,Jonestown,KY,37.977,-84.4966,"McDavid, Raven",1954,"also, 168N.1; stonemason, farmer",KY017NA,"attic, the attic, loft",loft -- way back
KY18A,LANCS,Male,69,White,Between 1 and 8 yrs.,Farmer ,Estill,Irvine,KY,37.7006,-83.9738,"McDavid, Raven",1956,"also, 177A.1; also barber, quarryman",KY018A,"upstairs, the loft",plank ladder; s. nat
KY18B,LANCS,Female,50,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Estill,Irvine,KY,37.7006,-83.9738,"McDavid, Raven",1956,"also, 177A.11; storekeeper, postmistress",KY018B,the loft,
KY18C,LANCS,Male,72,White,Between 1 and 8 yrs.,Clerical and sales,Estill,Irvine,KY,37.7006,-83.9738,"McDavid, Raven",1956,"also, 177A.2; timber buyer, one-time country school teacher",KY018C,attic,
KY19A,LANCS,Male,68,White,Between 1 and 8 yrs.,Farmer,Bath,Owingsville,KY,38.1448,-83.7641,"McDavid, Raven",1955,"also, 169.1; aux. inf.: wife",KY019A,attic,hardly used; no stairway
KY19B,LANCS,Male,75,White,Between 1 and 8 yrs.,Craftsman or foreman,Bath,Owingsville,KY,38.1448,-83.7641,"McDavid, Raven",1955,"also, 169.11; blacksmith, farmer; incomplete record",KY019B,"upstairs, a loft",upstairs -- 'was all'; a loft -- stairway
KY19C,LANCS,Male,62,White,Unknown,Farmer,Bath,Reynoldsville,KY,38.1904,-83.8235,"McDavid, Raven",1955,"also, 169.12; also, machinist; many folk forms. Incomplete record",KY019C,"garret, c. loft",trap door in outbuilding
KY19D,LANCS,Female,78,White,Unknown,Teacher,Bath,Sharpsburg,KY,38.202,-83.9294,"McDavid, Raven",1955,"also, 169.2; ""excellent informant""",KY019D,an attic,not used; stairway
KY20A,LANCS,Male,88,White,Between 1 and 8 yrs.,Farmer,Menifee,Frenchburg,KY,37.9509,-83.6257,"McDavid, Raven",1954,"also, 178.1; also, blacksmith",KY020A,"upstairs, attic, c. a loft","upstairs -- more thin; stairway; attic -- new; loft -- older, cruder, in one-story house"
KY20B,LANCS,Male,81,White,At least some high school,Farmer,Menifee,Sudith,KY,38.0184,-83.6321,"McDavid, Raven",1954,"also, 178.2; also, sheriff",KY020B,"the loft, upstairs",steps
KY21A,LANCS,Male,96,White,Between 1 and 8 yrs.,Farmer,Johnson,Boons Camp,KY,37.4957,-82.424,"McDavid, Raven",1954,"also, 179.1, 2a; also, cattle buyer",KY021A,loft,not in older house
KY21B,LANCS,Male,70,White,Unknown,Farmer,Johnson,Winifred,KY,37.9462,-82.8546,"McDavid, Raven",1954,"also, 179.11, 2b; incomplete record",KY021B,"upstairs room, upstairs, a loft",
KY21C,LANCS,Male,68,White,Between 1 and 8 yrs.,Farmer,Johnson,Oil Springs,KY,37.4836,-82.5633,"McDavid, Raven",1954,"also, 179.2, 2c",KY021C,a attic,never used
KY22A,LANCS,Male,79,White,Between 1 and 8 yrs.,Farmer,Hickman,Hailwell,KY,36.6764,-89.1059,"McDavid, Raven",1953,"also, 161.1",KY022A,"upstairs, the loft",a pair of steps
KY22B,LANCS,Male,79,White,At least some high school,Farmer,Hickman,Clinton,KY,36.6673,-89.9934,"McDavid, Raven",1953,"also, 161.2",KY022B,"a loft, attics",attics -- in some houses
KY22C,LANCS,Male,78,White,At least some high school,"Manager, official, or proprietor",Hickman,Clinton,KY,36.6673,-89.9934,"McDavid, Raven",1953,"also, 161.3; merchant, banker, judge",KY022C,"c. attic, an attic",
KY23A,LANCS,Male,89,White,At least some high school,Farmer ,Calloway,Murray,KY,36.6103,-88.3148,"McDavid, Raven",1953,"also, 172.1; also road commissioner, head of rural telephone co. hw except in whoa",KY023A,c. attic,
KY23B,LANCS,Male,91,White,Between 1 and 8 yrs.,Farmer,Calloway,New Concord,KY,36.3254,-88.917,"McDavid, Raven",1953,"also, 172.2",KY023B,"attics, rafters",rafters -- not common
KY24A,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,Trigg,Blue Spring,KY,36.8289,-87.9375,"McDavid, Raven",1953,"also, 173.1; many folk forms, hw except in whoa",KY024A,"upstairs, attic",attic -- new names
KY24B,LANCS,Male,74,White,Between 1 and 8 yrs.,Unknown,Trigg,Cadiz,KY,36.865,-87.8353,"McDavid, Raven",1953,"also, 173.11; speech not distinct; incomplete record",KY024B,upstairs,"? garret, etc."
KY24C,LANCS,Male,70,White,Between 1 and 8 yrs.,Farmer,Trigg,Cadiz,KY,36.865,-87.8353,"McDavid, Raven",1953,"also, 173.2; aux. inf.: Wife, 69",KY024C,"upstairs, lofts, the attic",lofts -- old; the attic -- GP's home
KY24D,LANCS,Male,60,White,At least some high school,Farmer's wife,Trigg,Caledonia,KY,36.8203,-87.695,"Thompson, Robert M.",1960,"also, 173.21; indefinite article often omitted before names of items",KY024D,attic,
KY25A,LANCS,Male,93,White,At least some high school,Farmer,Logan,Auburn,KY,36.8642,-86.7103,"Thompson, Robert M.",1960,"also, 175.1; also, miller",KY025A,attic,
KY25B,LANCS,Male,50,White,At least some high school,Clerical and sales,Logan,Lewisburg,KY,36.9864,-86.9472,"Thompson, Robert M.",1960,"also, 175.2; bank teller",KY025B,attic,(sic)
KY26A,LANCS,Female,85,White,At least some high school,Farmer,Allen,Holland,KY,36.6989,-86.0683,"McDavid, Raven",1955,"also, 175A.1",KY026A,the attic,
KY26B,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,Allen,Mt. Zion,KY,36.6831,-86.0572,"McDavid, Raven",1954,"also, 175A.2; also, blacksmith, custodian",KY026B,"upstairs, a attic",upstairs -- we called it; a attic -- a back space - for junk
KY27A,LANCS,Male,93,White,At least some high school,Farmer,Pulaski,Goodwater,KY,37.0754,-84.3733,"McDavid, Raven",1954,"also, 181.1; also, coal miner",KY027A,"upstairs, the loft, garret",the loft -- some still call it
KY27B,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,Pulaski,Somerset,KY,37.092,-84.6041,"McDavid, Raven",1954,"also, 181.2; also, watchman",KY027B,"upstairs, the loft",up in the loft
KY28A,LANCS,Male,104,White,Between 1 and 8 yrs.,Farmer,Whitley,Wofford,KY,36.7803,-84.1349,"McDavid, Raven",1954,"also, 182.1; also, carpenter, marshall, gunsmith; ""Clear mind; no teeth.""",KY028A,"a loft, c. upstairs",a stairway
KY28B,LANCS,Male,74,White,Between 1 and 8 yrs.,Farmer ,Whitley,Williamsburg,KY,36.7434,-84.1597,"McDavid, Raven",1954,"also, 182.11; also, coal miner; incomplete record",KY028B,"lofts, the loft",???; stairway
KY28C,LANCS,Male,82,White,At least some high school,"Manager, official, or proprietor",Whitley,Williamsburg,KY,36.7434,-84.1597,"McDavid, Raven",1954,"also, 182.2; storekeeper, farmer",KY028C,the loft,loft -- low upper story; c. a stairway; c. stairs
KY29A,LANCS,Male,86,White,Between 1 and 8 yrs.,Farmer,Bell,Ingram,KY,36.4349,-83.4754,"McDavid, Raven",1954,"also, 186.1; also, logger",KY029A,c. loft,
KY29B,LANCS,Male,55,White,At least some college or beyond,"Manager, official, or proprietor",Bell,Middlesboro,KY,36.6073,-83.7143,"McDavid, Raven",1954,"also, 186.3; clothing merchant",KY029B,the attic,a stairway
KY30A,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,Owsley,Booneville,KY,37.4762,-83.6749,"McDavid, Raven",1954,"also, 183.1, 3a",KY030A,"upper room, upstairs, c. loft",
KY30B,LANCS,Female,101,White,Unknown,Keeping house,Owsley,Scoville,KY,37.454,-83.7199,"McDavid, Raven",1954,"also, 183.11, 3b; suspicious of fw, interference by garrulous daughter; incomplete record",KY030B,the loft,people still calls it
KY30C,LANCS,Male,98,White,Unknown,Farmer,Owsley,Lerose,KY,37.2856,-83.3656,"McDavid, Raven",1954,"also, 183.12, 3c; coal miner; interviews halted by fw because inf. did not seem fully lucid; incomplete record",KY030C,upstairs,
KY30D,LANCS,Male,74,White,No formal schooling,Farmer,Breathitt,Athol,KY,37.515,-83.2643,"McDavid, Raven",1954,"also, 183.13, 3d; coal miner; incomplete record",KY030D,the loft,
KY30E,LANCS,Male,78,White,Between 1 and 8 yrs.,Farmer,Owsley,Cow Creek,KY,37.2619,-83.3638,"McDavid, Raven",1954,"also, 183.2, 3e; also in logging, lumbering, coal mining",KY030E,"upstairs, attic, upper room",c. stairs; attic -- nat then
KY31A,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,Leslie,Big Rock,KY,37.0431,-83.2071,"McDavid, Raven",1954,"also, 184.1; many folk grammatical forms",KY031A,a loft,on joists
KY31B,LANCS,Male,74,White,Unknown,Unknown,Leslie,Big Rock,KY,37.0431,-83.2071,"Boggs, K. K.",1933,"""Old fashioned""; LONG worksheets",KY031B,the loft,
KY31C,LANCS,Male,76,White,Between 1 and 8 yrs.,Farmer,Leslie,Hyden,KY,37.1609,-83.3732,"McDavid, Raven",1954,"also, 184.11; logger, sheriff",KY031C,"a loft, upstairs",
KY31D,LANCS,Female,65,White,At least some college or beyond,Teacher,Leslie,Dry Hill,KY,37.222,-83.3774,"McDavid, Raven",1954,"also, 184.2; also, missionary",KY031D,"the loft, attic",the loft -- wen tup a ladder; attic -- in older house
KY32,LANCS,Male,65,White,Unknown,Unknown,Perry,Hazard,KY,37.1455,-83.1142,"Boggs, K. K.",1933,"""Old fashioned""; LONG worksheets",KY032,NR,
KY33A,LANCS,Male,74,White,Between 1 and 8 yrs.,Laborer,Harlan,Crummies,KY,36.7745,-83.2038,"McDavid, Raven",1954,"also 187.1, 6a; logger, also truck driver; aux. inf.: wife; b. and resided here",KY033A,"loft, attic",ladder
KY33B,LANCS,Male,86,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Harlan,Harlan,KY,36.8431,-83.3218,"McDavid, Raven",1954,"also, 187.11, 6b; merchant, farmer; incomplete record",KY033B,"loft, upstairs",loft -- stairway
KY33C,LANCS,Female,65,White,At least some college or beyond,Keeping house,Harlan,Cawood,KY,36.784,-83.2282,"McDavid, Raven",1954,"also, 187.2, 6c; former school teacher; 8th grade in Harlan, 2 yrs. Wheaton College",KY033C,"the loft, upstairs, an attic",steps
KY34A,LANCS,Male,84,White,Between 1 and 8 yrs.,Farmer,Letcher,Linefork,KY,37.0198,-82.9596,"McDavid, Raven",1954,"also, 185.1; mail carrier; aux. inf.: Son, 60, ""Slightly more sophisticated, but grammatically uninhibited""",KY034A,"a loft, c. loft",a loft -- stairway; c. stairs
KY34B,LANCS,Male,89,White,Unknown,Unknown,Letcher,Linefork,KY,37.0198,-82.9596,"Boggs, K. K.",1933,"""Old fashioned""; LONG worksheets",KY034B,"garret, the loft",
KY34C,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer ,Letcher,Kingdom Come,KY,37.0804,-82.8803,"McDavid, Raven",1954,"also, 185.2; also, logger; ""Some Virginia forms not found elsewhere in Kentucky.""",KY034C,"upstairs, the loft",dirty clothes; ladder; steps
MA1,LANE,Female,45,White,At least some college or beyond,Teacher,Bridgewater,Plymouth,MA,41.9903,-70.9756,"Reynard, Cassil",1931-33,,MA001,attic,
MA2,LANE,Male,76,White,At least some high school,Farmer,Middlefield,Hampshire,MA,42.3483,-73.0155,"Joos, Martin",1931-33,,MA002,garret,
MA3,LANE,Female,76,White,At least some high school,Keeping house,Cummington,Hampshire,MA,42.4616,-72.8944,"Joos, Martin",1931-33,,MA003,"attic, garret","interchangeably'; on second thought, 'imagine ""garret"" is older'. Also 'the ""attic"" may have finished rooms.' [pic]"
MA4,LANE,Male,43,White,At least some high school,"Manager, official, or proprietor",Cummington,Hampshire,MA,42.4616,-72.8944,"Joos, Martin",1931-33,,MA004,"attic, garret",garret is older
MA5,LANE,Male,71,White,At least some high school,Farmer,Bridgewater,Plymouth,MA,41.9903,-70.9756,"Reynard, Cassil",1931-33,,MA005,attic,
MA6,LANE,Male,56,White,At least some high school,Clerical or sales position,Holland,Hampden,MA,42.0639,-72.1578,"Bloch, Bernard",1931-33,,MA006,attic,
MA7,LANE,Male,73,White,Between 1 and 8 years,Farmer,Haverhill (Ayers Village),Essex,MA,42.7833,-71.0833,"Lowman, Guy",1931-33,,MA007,attic,
MA8,LANE,Female,85,White,Between 1 and 8 years,Keeping house,Haverhill (Haverhill),Essex,MA,42.7833,-71.0833,"Lowman, Guy",1931-33,,MA008,attic,
MA9,LANE,Female,68,White,At least some high school,Other (see notes),Rockport,Essex,MA,42.6556,-70.6208,"Lowman, Guy",1931-33,"Single woman, at home",MA009,attic,
MA10,LANE,Female,63,White,Between 1 and 8 years,Keeping house,Haverhill (Haverhill),Essex,MA,42.7833,-71.0833,"Lowman, Guy",1931-33,,MA010,attic,"[re: one pronunciation] with double ""t,"" as a child."
MA12,LANE,Male,73,White,At least some college or beyond,Farmer,Rochester,Plymouth,MA,41.7317,-70.8206,"Reynard, Cassil",1931-33,,MA012,"attic, garret",same; no distinction. (Garret - unfinished) part of house between upper floor and rafters: no side walls.
MA13,LANE,Male,75,White,At least some high school,Other (see notes),Colrain,Franklin,MA,42.673,-72.6972,"Joos, Martin",1931-33,"""Man of leisure""",MA013,"attic, garret",attic -- modern; garret -- old word
MA14,LANE,Male,66,White,At least some high school,"Manager, official, or proprietor",Deerfield (Old Deerfield),Franklin,MA,42.5444,-72.6061,"Joos, Martin",1931-33,,MA014,"attic, garret",garret older
MA15,LANE,Female,64,White,At least some high school,Operative,Hardwick,Worcester,MA,42.35,-72.2,"Bloch, Bernard",1931-33,,MA015,attic,
MA16,LANE,Male,63,White,At least some high school,Farmer,Hardwick,Worcester,MA,42.35,-72.2,"Bloch, Bernard",1931-33,,MA016,"eaves, attic",eaves -- question misunderstood
MA21,LANE,Male,57,White,At least some college or beyond,Clerical or sales position,Hanover (North Hanover),Plymouth,MA,42.1166,-70.8166,"Reynard, Cassil",1931-33,,MA021,"attic, sug. garret","but difference is not clear; there are ""finished attics"" and ""unfinished attics."""
MA22,LANE,Male,39,White,At least some college or beyond,Professional or technical job,Bridgewater,Plymouth,MA,41.9903,-70.9756,"Reynard, Cassil",1931-33,,MA022,attic,unfinished -- no floor or walls. [pic]
MA24,LANE,Male,44,White,Between 1 and 8 years,Farmer,Rockport,Essex,MA,42.6556,-70.6208,"Lowman, Guy",1931-33,,MA024,attic,
MA25,LANE,Male,81,White,Between 1 and 8 years,Public servant,Newbury (Byfield),Essex,MA,42.7598,-70.9481,"Lowman, Guy",1931-33,,MA025,"up attic, garret",
MA26,LANE,Male,70,White,Between 1 and 8 years,Professional or technical job,Rockport,Essex,MA,42.6556,-70.6208,"Lowman, Guy",1931-33,,MA026,attic,
MA27,LANE,Female,55,White,At least some high school,Other (see notes),Newbury (Old Town),Essex,MA,42.7598,-70.9481,"Lowman, Guy",1931-33,"Single woman, at home",MA027,"attic, garret",garret older
MA28,LANE,Male,87,White,Between 1 and 8 years,Craftsman or foreman,Rowley,Essex,MA,42.7167,-70.8792,"Lowman, Guy",1931-33,,MA028,"garret, attic",attic modern
MA29,LANE,Female,61,White,At least some college or beyond,Clerical or sales position,Rowley,Essex,MA,42.7167,-70.8792,"Lowman, Guy",1931-33,,MA029,"attic, garret",mother said
MA35,LANE,Male,78,White,At least some high school,Professional or technical job,Hanover,Plymouth,MA,42.1166,-70.8166,"Reynard, Cassil",1931-33,,MA035,"f. attic, open chamber","f. attic -- no walls, 'just roof', 'hard to stand up in one'; [pic]; open chamber if not walled in, but used for sleeping -- cf. bedroom"
MA36,LANE,Male,67,White,No formal schooling,Private household worker or gardener,Plymouth,Plymouth,MA,41.9583,-70.6678,"Reynard, Cassil",1931-33,,MA036,"garret, attic, eaves",garret -- small; triangular. Attic -- usually with walls; larger. Eaves -- small space under roof; for storage
MA37,LANE,Female,80,White,At least some high school,Keeping house,Cummington,Hampshire,MA,42.4616,-72.8944,"Joos, Martin",1931-33,,MA037,attic,
MA38,LANE,Male,67,White,At least some college or beyond,Professional or technical job,Spencer,Worcester,MA,42.2439,-71.9928,"Bloch, Bernard",1931-33,,MA038,attic,
MA45,LANE,Male,80,White,Between 1 and 8 years,Farmer,Raynham,Bristol,MA,41.9,-71.0903,"Reynard, Cassil",1931-33,,MA045,attic,unfinished -- no floor or walls.
MA46,LANE,Female,49,White,At least some high school,Professional or technical job,Rochester,Plymouth,MA,41.7317,-70.8206,"Reynard, Cassil",1931-33,No matching Inf. in LH,MA046,attic,no flooring on part of it; no walls.
